Date : 2026-01-03 02:25:36
Directory : d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src
Total : 217 files,  20756 codes, 2591 comments, 4815 blanks, all 28162 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Luau     |        217 |     20,756 |      2,591 |      4,815 |     28,162 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\LocalSummon.client.luau                                              | Luau     |         12 |          1 |          3 |         16 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\Mantle.client.luau                                                   | Luau     |         88 |          9 |         18 |        115 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\OldShiftLock.client.luau                                             | Luau     |         57 |         14 |         15 |         86 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\PilotMode.client.luau                                                | Luau     |         97 |          5 |         13 |        115 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\Ragdoll.server.luau                                                  | Luau     |         21 |          3 |          2 |         26 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\RequestCameraDirection.client.luau                                   | Luau     |         10 |          1 |          3 |         14 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\Slide.client.luau                                                    | Luau     |         42 |          1 |         13 |         56 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\SpecialtyAbilities.client.luau                                       | Luau     |        116 |         26 |         22 |        164 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\clientchar\StandAbilities.client.luau                                           | Luau     |        116 |         26 |         22 |        164 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\Animations\WalkAnims.server.luau                                         | Luau     |         89 |         17 |         20 |        126 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\AnimationModule.luau                                         | Luau     |         64 |          6 |         10 |         80 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Barrage.server.luau                                          | Luau     |         61 |          6 |         15 |         82 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\BasicStandAttacks.luau                                       | Luau     |        299 |         24 |         55 |        378 |
| d:\Roblox Studio\Games\JoJoSteelBallCrusaders\src\server\BasicCombat\Block.server.luau                                            | Luau     |         17 |          1 |          6 |         24 |
